#x[m]	y[m]	z[m]	pd[W/m^2]
7.8523e-05	-0.00181793	0.0382791	0
0.000201152	-0.00201132	0.0382791	0
-0.000111748	-0.00114483	0.0382791	0
-8.92254e-05	-0.00122962	0.0382791	0
-3.68369e-05	-0.00115073	0.0382791	0
0.000524959	-0.0020457	0.0382791	0
0.000331519	-0.00183526	0.0382791	0
0.00105015	-0.00145129	0.0382791	0
0.00102672	-0.00122975	0.0382791	0
0.000903956	-0.00133479	0.0382791	0
4.404e-05	-0.00113439	0.0382791	0
1.11943e-06	-0.00122743	0.0382791	0
0.000334602	-0.00113564	0.0382791	0
0.000274033	-0.00119488	0.0382791	0
0.000358481	-0.00120255	0.0382791	0
9.79603e-05	-0.00119247	0.0382791	0
0.000116521	-0.00110174	0.0382791	0
0.000267243	-0.00110991	0.0382791	0
0.000191951	-0.00112235	0.0382791	0
0.000424387	-0.00116252	0.0382791	0
0.000514372	-0.00121736	0.0382791	0
0.000504079	-0.00113329	0.0382791	0
0.000565261	-0.00115139	0.0382791	0
0.000921673	-0.000765221	0.0382791	0
0.00095774	-0.000818733	0.0382791	0
0.00100432	-0.000753869	0.0382791	0
0.000889582	-0.000833206	0.0382791	0
0.000939663	-0.000694281	0.0382791	0
0.00102505	-0.000844961	0.0382791	0
0.00109266	-0.000788975	0.0382791	0
0.00148505	-0.000967352	0.0382791	0
0.00126163	-0.000981153	0.0382791	0
0.00132134	-0.00117965	0.0382791	0
0.000760544	-0.00105821	0.0382791	0
0.000757995	-0.000958592	0.0382791	0
0.000681841	-0.00100283	0.0382791	0
1.20321e-06	-0.00108329	0.0382791	0
-6.524e-05	-0.00108427	0.0382791	0
-2.51936e-05	-0.000946288	0.0382791	0
-5.65457e-06	-0.000987805	0.0382791	0
-5.34754e-05	-0.000982161	0.0382791	0
1.48362e-05	-0.00095284	0.0382791	0
3.99507e-05	-0.000988496	0.0382791	0
-0.000141657	-0.000947278	0.0382791	0
-0.000109517	-0.000928477	0.0382791	0
-0.000120065	-0.000891137	0.0382791	0
-0.000138712	-0.000914548	0.0382791	0
-0.000167397	-0.000916353	0.0382791	0
-0.000154233	-0.00088796	0.0382791	0
-0.000173993	-0.000852459	0.0382791	0
-6.9052e-05	-0.000938291	0.0382791	0
-0.000101143	-0.000970412	0.0382791	0
-8.50819e-05	-0.000900829	0.0382791	0
-3.57918e-06	-0.000881581	0.0382791	0
1.44259e-06	-0.000915382	0.0382791	0
-3.92586e-05	-0.000901249	0.0382791	0
2.85931e-05	-0.000888928	0.0382791	0
2.19505e-05	-0.000863443	0.0382791	0
-5.06597e-05	-0.000832466	0.0382791	0
-7.34272e-05	-0.000810573	0.0382791	0
-4.15709e-05	-0.000794655	0.0382791	0
0.000548232	-0.00108985	0.0382791	0
0.000627687	-0.0011214	0.0382791	0
0.000443301	-0.00100432	0.0382791	0
0.000422817	-0.000969366	0.0382791	0
0.000453901	-0.000962904	0.0382791	0
0.000435317	-0.000925546	0.0382791	0
0.00016447	-0.000860151	0.0382791	0
9.28486e-05	-0.000776581	0.0382791	0
0.000184329	-0.000822419	0.0382791	0
0.00015117	-0.000828907	0.0382791	0
0.000200455	-0.000790901	0.0382791	0
0.000216881	-0.000826837	0.0382791	0
0.000168224	-0.000794301	0.0382791	0
0.000139056	-0.000797307	0.0382791	0
0.000195802	-0.000856535	0.0382791	0
0.000229743	-0.000869235	0.0382791	0
0.000270868	-0.000872891	0.0382791	0
0.000219362	-0.000904068	0.0382791	0
0.000249791	-0.000905836	0.0382791	0
